Title,Description,Priority,Status,Labels,Estimate,Project,Project Milestone
WEB-16 Model picker (chat + embeddings),"Cache de modelos + refresh.",High,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 3 — Providers Console"
WEB-17 Failover policy UI,"Prioridade, circuit breaker status, fallback.",Normal,Backlog,"area:frontend,area:gateway,type:feature",5,"GarraIA Admin Web Console","Phase 3 — Providers Console"
WEB-18 Health dashboard por provider,"latência/erros recentes.",Normal,Backlog,"area:frontend,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 3 — Providers Console"
WEB-19 Provider-specific overrides por tenant,"Ex.: tenant A usa openrouter, tenant B usa openai.",Normal,Backlog,"area:frontend,area:gateway,area:db,type:feature",3,"GarraIA Admin Web Console","Phase 3 — Providers Console"
WEB-20 Config editor (YAML/JSON),"Editor config + validação + schema",High,Backlog,"area:frontend,area:gateway,type:feature",5,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-21 Config versions + diff,"Apply / rollback",Normal,Backlog,"area:frontend,area:gateway,type:feature",5,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-22 Hot-reload safe apply,"Aplicar sem derrubar gateway quando possível.",High,Backlog,"area:gateway,area:ops,type:feature",5,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-23 Flags,"habilitar/desabilitar módulos (memory/tools/etc).",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-24 Ports & runtime settings,"gateway port, metrics port, etc.",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-25 Import/export config,"Backup de config.",Low,Backlog,"area:frontend,area:gateway,area:ops,type:feature",2,"GarraIA Admin Web Console","Phase 4 — Config Console"
WEB-26 Memory browser + search,"Listar + buscar memórias por tenant",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-27 Memory CRUD (admin),"apagar entradas, pin, tags.",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-28 Reindex embeddings / rebuild,"Reconstruir embeddings de memórias.",Normal,Backlog,"area:gateway,area:ops,type:feature",5,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-29 Import/export memory (backup),"Backup/Restore de memórias.",Low,Backlog,"area:gateway,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-30 Memory health + errors viewer,"Dashboard de erros do memory provider.",Normal,Backlog,"area:frontend,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-31 Tools list + enable/disable,"Ativar/desativar tools pela UI",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-32 Tool policy editor,"allowlist paths, disable bash for non-admin.",High,Backlog,"area:frontend,area:gateway,area:security,type:feature",5,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-33 Tool execution logs,"Visualizar quem chamou qual tool.",Normal,Backlog,"area:frontend,area:gateway,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-34 Quotas por tool/tenant,"Limites de uso de tools por tenant.",Low,Backlog,"area:frontend,area:gateway,area:db,type:feature",5,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-35 Telegram settings UI,"allowlist, token, test ping.",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-36 Sessions viewer,"sessões ativas, disconnect, maintenance mode.",Normal,Backlog,"area:frontend,area:gateway,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 5 — Ops"
WEB-37 Logs viewer,"Viewer de logs com filtros request_id/tenant",Normal,Backlog,"area:frontend,area:ops,type:feature",3,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-38 Metrics dashboard,"provider latency, errors, tool calls, memory recall errors.",Normal,Backlog,"area:frontend,area:ops,type:feature",5,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-39 Prometheus endpoint toggle + config,"Configurar endpoint de metrics.",Low,Backlog,"area:frontend,area:gateway,area:ops,type:feature",2,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-40 Alerts rules (básico),"provider down, error rate alto.",Normal,Backlog,"area:frontend,area:gateway,area:ops,type:feature",5,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-41 UI Themes (dark/light/accent),"Temas globais",Low,Backlog,"area:frontend,type:feature",2,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-42 UI Layout preferences,"sidebar compacta, densidade, atalhos.",Low,Backlog,"area:frontend,type:feature",2,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-43 Templates (prompts/personas),"Gerenciar templates na UI.",Normal,Backlog,"area:frontend,area:gateway,type:feature",3,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
WEB-44 About / Build info,"commit hash, versão, uptime.",Low,Backlog,"area:frontend,area:gateway,type:feature",2,"GarraIA Admin Web Console","Phase 6 — Observability/UI"
